"association","From Connection","To Connection","From Object","To Object"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_corp_grp_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_corp_grp_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_oper_bus_unit_sales_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_oper_bus_unit_sales_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/dw_row_active_ind","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/dw_row_active_ind"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/dw_row_start_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/dw_row_start_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/dw_row_end_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/dw_row_end_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/dw_batch_id","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/dw_batch_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/dw_create_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/dw_create_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/dw_last_update_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/dw_last_update_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/party_broker_key","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/party_broker_key"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/party_broker_id","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/party_broker_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/party_broker_textnk","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/party_broker_textnk"
