"association","fromObjectIdentity","toObjectIdentity"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/id"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/offset"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/pageSize"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/isA"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/400"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_classes__id_"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/id"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/404"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_referenceDataTypes"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/id"
